row_index,PSMILES,normalized_PSMILES_for_current_gate,Exp_Tg_K,source,polymer_class,reliability,current_pmsbp_density,representation_class,support_status,support_error
26,[*]/C(Cl)=C(/[*])CCCCCC,*/C(Cl)=C(/*)CCCCCC,423.15,GREA,Polyvinyls,black,,,unsupported,ValueError
27,[*]/C(Cl)=C(/[*])CCCCCCCC,*/C(Cl)=C(/*)CCCCCCCC,363.15,GREA,Polyvinyls,black,,,unsupported,ValueError
28,[*]/C(Cl)=C(/[*])c1ccccc1,*/C(Cl)=C(/*)c1ccccc1,488.15,GREA,Polyvinyls,black,,,unsupported,ValueError
29,[*]/C=C(/[*])C(C)(C)C,*/C=C(/*)C(C)(C)C,473.15,GREA,Polydienes,black,,,unsupported,ValueError
30,[*]/C=C(/[*])C(CCC)[Si](C)(C)CCCCCC,*/C=C(/*)C(CCC)[Si](C)(C)CCCCCC,313.15,GREA,Polyvinyls,black,,,unsupported,ValueError
31,[*]/C=C(/[*])C(CCC)[Si](C)(C)c1ccccc1,*/C=C(/*)C(CCC)[Si](C)(C)c1ccccc1,383.15,GREA,Polyvinyls,black,,,unsupported,ValueError
32,[*]/C=C(/[*])C(CCCCC)[Si](C)(C)C,*/C=C(/*)C(CCCCC)[Si](C)(C)C,443.15,GREA,Polyvinyls,black,,,unsupported,ValueError
33,[*]/C=C(/[*])C(CCCCCCC)[Si](C)(C)C,*/C=C(/*)C(CCCCCCC)[Si](C)(C)C,423.15,GREA,Polyvinyls,black,,,unsupported,ValueError
34,[*]/C=C(/[*])CCCOC(=O)c1cc(-c2ccc(OC)cc2)ccc1-c1ccc(OC)cc1,*/C=C(/*)CCCOC(=O)c1cc(-c2ccc(OC)cc2)ccc1-c1ccc(OC)cc1,345.55,GREA,Polyvinyls,black,,,unsupported,ValueError
35,[*]/C=C(/[*])CCCOc1ccc(OC(=O)c2ccc(OC)cc2)cc1,*/C=C(/*)CCCOc1ccc(OC(=O)c2ccc(OC)cc2)cc1,293.15,GREA,Polyvinyls,black,,,unsupported,ValueError
36,[*]/C=C(/[*])CCCOc1ccc(OC(=O)c2ccc(OCCCC)cc2)cc1,*/C=C(/*)CCCOc1ccc(OC(=O)c2ccc(OCCCC)cc2)cc1,309.15,GREA,Polyvinyls,black,,,unsupported,ValueError
37,[*]/C=C(/[*])CCCOc1ccc(OC(=O)c2ccc(OCCCCCCCC)cc2)cc1,*/C=C(/*)CCCOc1ccc(OC(=O)c2ccc(OCCCCCCCC)cc2)cc1,315.15,GREA,Polyvinyls,black,,,unsupported,ValueError
38,[*]/C=C(/[*])c1c(C)cc(C(C)(C)C)cc1C,*/C=C(/*)c1c(C)cc(C(C)(C)C)cc1C,473.15,GREA,Polyvinyls,black,,,unsupported,ValueError
39,[*]/C=C(/[*])c1c(F)c(F)c(CCCC)c(F)c1F,*/C=C(/*)c1c(F)c(F)c(CCCC)c(F)c1F,383.15,GREA,Polyvinyls,black,,,unsupported,ValueError
40,[*]/C=C(/[*])c1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(C#C)cc5)c(=O)c4cc3c2=O)cc1,*/C=C(/*)c1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(C#C)cc5)c(=O)c4cc3c2=O)cc1,693.15,GREA,Polyvinyls,black,,,unsupported,ValueError
41,[*]/C=C(/[*])c1ccccc1C(F)(F)F,*/C=C(/*)c1ccccc1C(F)(F)F,403.15,GREA,Polyvinyls,black,,,unsupported,ValueError
42,[*]/C=C(/[*])c1ccccc1C[Si](C)(C)C,*/C=C(/*)c1ccccc1C[Si](C)(C)C,443.15,GREA,Polyvinyls,black,,,unsupported,ValueError
43,[*]/C=C(/[*])c1ccccc1[Ge](C)(C)C,*/C=C(/*)c1ccccc1[Ge](C)(C)C,453.15,GREA,Polyvinyls,black,,,unsupported,ValueError
44,[*]/C=C(/[*])c1ccccc1[Si](C)(C)C,*/C=C(/*)c1ccccc1[Si](C)(C)C,463.15,GREA,Polyvinyls,black,,,unsupported,ValueError
45,[*]/C=C/[*],*/C=C/*,269.15,GREA,Polydienes,black,-0.5,*CC*,supported,
46,[*]=C(C#CC(=[*])COS(=O)(=O)c1ccc(C)cc1)COS(=O)(=O)c1ccc(C)cc1,*=C(C#CC(=*)COS(=O)(=O)c1ccc(C)cc1)COS(=O)(=O)c1ccc(C)cc1,200.15,GREA,Polyvinyls,black,,,unsupported,ValueError
47,[*]=C(C#N)N1C(=O)c2ccc(C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(C(=[*])C#N)C5=O)cc3)cc2C1=O,*=C(C#N)N1C(=O)c2ccc(C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(C(=*)C#N)C5=O)cc3)cc2C1=O,522.15,GREA,Polyimides,black,,,unsupported,ValueError
48,[*]=C(C#N)NC(=O)c1ccc(C(=O)NC(=[*])C#N)cc1,*=C(C#N)NC(=O)c1ccc(C(=O)NC(=*)C#N)cc1,505.15,GREA,Polyamides,black,,,unsupported,ValueError
49,[*]=C(C#N)c1ccc(C(=O)OC2CCN(C(=[*])c3ccc(OC)cc3)CC2)cc1,*=C(C#N)c1ccc(C(=O)OC2CCN(C(=*)c3ccc(OC)cc3)CC2)cc1,456.15,GREA,Polyesters,black,,,unsupported,ValueError
50,[*]=C(C#N)c1ccc(C(=O)OCC2CCCN(C(=[*])c3ccc(OC)cc3)C2)cc1,*=C(C#N)c1ccc(C(=O)OCC2CCCN(C(=*)c3ccc(OC)cc3)C2)cc1,449.15,GREA,Polyesters,black,,,unsupported,ValueError
51,[*]=C(C#N)c1ccc(C(=O)OCCC2CCN(C(=[*])c3ccc(OC)cc3)CC2)cc1,*=C(C#N)c1ccc(C(=O)OCCC2CCN(C(=*)c3ccc(OC)cc3)CC2)cc1,440.15,GREA,Polyesters,black,,,unsupported,ValueError
52,[*]=C(C#N)n1c(=O)c2cc3c(=O)n(C(=[*])C#N)c(=O)c3cc2c1=O,*=C(C#N)n1c(=O)c2cc3c(=O)n(C(=*)C#N)c(=O)c3cc2c1=O,483.15,GREA,Polyimides,black,,,unsupported,ValueError
53,[*]=C(C)CCC(=[*])C,*=C(C)CCC(=*)C,277.15,GREA,Polydienes,black,,,unsupported,ValueError
54,[*]=C(CCC(=[*])c1ccccc1)c1ccccc1,*=C(CCC(=*)c1ccccc1)c1ccccc1,393.65,GREA,Polyvinyls,black,,,unsupported,ValueError
55,[*]=C(Cl)CC(F)(F)C(=[*])F,*=C(Cl)CC(F)(F)C(=*)F,256.15,GREA,Polydienes,black,,,unsupported,ValueError
56,[*]=C(F)C(F)(F)C(F)(C(=[*])F)C(F)(F)F,*=C(F)C(F)(F)C(F)(C(=*)F)C(F)(F)F,270.15,GREA,Polydienes,black,,,unsupported,ValueError
57,[*]=C(F)C(F)(F)ON(C(F)(F)F)C(F)(F)C(=[*])F,*=C(F)C(F)(F)ON(C(F)(F)F)C(F)(F)C(=*)F,266.15,GREA,Polyoxides,black,,,unsupported,ValueError
58,[*]=C(OC)c1ccc(C(=[*])OC)s1,*=C(OC)c1ccc(C(=*)OC)s1,364.15,GREA,Polysulfides,black,,,unsupported,ValueError
59,[*]=C([2H])C([2H])([2H])C([2H])([2H])C(=[*])C([2H])([2H])[2H],*=C([2H])C([2H])([2H])C([2H])([2H])C(=*)C([2H])([2H])[2H],215.15,GREA,Polydienes,black,,,unsupported,ValueError
60,[*]=C(c1ccc(Oc2ccccc2)cc1)c1ccc(C(=[*])c2ccc(Oc3ccccc3)cc2)cc1,*=C(c1ccc(Oc2ccccc2)cc1)c1ccc(C(=*)c2ccc(Oc3ccccc3)cc2)cc1,436.15,GREA,Polyphenylenes,black,,,unsupported,ValueError
61,[*]=C1C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c2cc(-c3ccc(-c4ccc(-c5ccc6c(c5)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C6=[*])s4)s3)ccc21,*=C1C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c2cc(-c3ccc(-c4ccc(-c5ccc6c(c5)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C6=*)s4)s3)ccc21,338.15,Xie,Other class,black,,,unsupported,ValueError
62,[*]=CC(=O)NCCCCCCCCCCNC(=O)C(=[*])C,*=CC(=O)NCCCCCCCCCCNC(=O)C(=*)C,347.15,GREA,Polyamides,black,,,unsupported,ValueError
63,[*]=CC(=O)NCCCCCCNC(=O)C(=[*])C,*=CC(=O)NCCCCCCNC(=O)C(=*)C,367.15,GREA,Polyamides,black,,,unsupported,ValueError
64,[*]=CC(=O)NCc1cccc(CNC(=O)C(=[*])C)c1,*=CC(=O)NCc1cccc(CNC(=O)C(=*)C)c1,408.15,GREA,Polyamides,black,,,unsupported,ValueError
65,[*]=CC(C)CC(=[*])C,*=CC(C)CC(=*)C,275.45,GREA,Polydienes,black,,,unsupported,ValueError
66,[*]=CC(C)S(=O)(=O)CC(=[*])C,*=CC(C)S(=O)(=O)CC(=*)C,356.15,GREA,Polysulfides,black,,,unsupported,ValueError
67,[*]=CC1CC(C=[*])C2C3CCC(C3)C12,*=CC1CC(C=*)C2C3CCC(C3)C12,480.55,GREA,Polydienes,black,,,unsupported,ValueError
68,[*]=CC1CCC(C=[*])C1,*=CC1CCC(C=*)C1,304.15,GREA,Polydienes,black,,,unsupported,ValueError
69,[*]=CCC(F)(F)C(=[*])F,*=CCC(F)(F)C(=*)F,238.15,GREA,Polydienes,black,,,unsupported,ValueError
70,[*]=CCCC(=[*])C(C)(C)C,*=CCCC(=*)C(C)(C)C,293.15,GREA,Polydienes,black,,,unsupported,ValueError
71,[*]=CCCC(=[*])C(C)C,*=CCCC(=*)C(C)C,226.15,GREA,Polydienes,black,,,unsupported,ValueError
72,[*]=CCCC(=[*])CCCCCCC,*=CCCC(=*)CCCCCCC,190.15,GREA,Polydienes,black,,,unsupported,ValueError
73,[*]=CCCC(=[*])CCCCCCCCCC,*=CCCC(=*)CCCCCCCCCC,220.15,GREA,Polydienes,black,,,unsupported,ValueError
74,[*]=CCCC(=[*])[Sn](CCCC)(CCCC)CCCC,*=CCCC(=*)[Sn](CCCC)(CCCC)CCCC,193.15,GREA,Polyvinyls,black,,,unsupported,ValueError
75,[*]=CCCC(=[*])c1ccccc1,*=CCCC(=*)c1ccccc1,312.65,GREA,Polyvinyls,black,,,unsupported,ValueError
76,[*]=CCCCC(=[*])c1ccc(Cl)cc1,*=CCCCC(=*)c1ccc(Cl)cc1,289.15,GREA,Polyvinyls,black,,,unsupported,ValueError
77,[*]=CCCCC(=[*])c1ccc(OC)cc1,*=CCCCC(=*)c1ccc(OC)cc1,284.15,GREA,Polyvinyls,black,,,unsupported,ValueError
78,[*]=CCCCC(=[*])c1ccccc1,*=CCCCC(=*)c1ccccc1,273.15,GREA,Polyvinyls,black,,,unsupported,ValueError
79,[*]=CCCCCCCC=[*],*=CCCCCCCC=*,195.15,GREA,Polydienes,black,-0.5,*CC*,supported,
80,[*]=CCCCCCCCCCCC=[*],*=CCCCCCCCCCCC=*,220.15,GREA,Polydienes,black,-0.5,*CC*,supported,
81,[*]=CCS(=O)(=O)C(C)C(=[*])C,*=CCS(=O)(=O)C(C)C(=*)C,346.15,GREA,Polysulfides,black,,,unsupported,ValueError
82,[*]=CCS(=O)(=O)CC(=[*])C,*=CCS(=O)(=O)CC(=*)C,361.35,GREA,Polysulfides,black,,,unsupported,ValueError
83,[*]=Cc1cc(OC)c(/C=C(\c2ccc(OC)cc2)c2ccc(C(=[*])c3ccc(OC)cc3)cc2)cc1OC,*=Cc1cc(OC)c(/C=C(\c2ccc(OC)cc2)c2ccc(C(=*)c3ccc(OC)cc3)cc2)cc1OC,443.15,GREA,Polyphenylenes,black,,,unsupported,ValueError
84,[*]=Cc1ccc(/C=C(\c2ccccc2)c2ccc(-c3ccc(C(=[*])c4ccccc4)cc3)cc2)cc1,*=Cc1ccc(/C=C(\c2ccccc2)c2ccc(-c3ccc(C(=*)c4ccccc4)cc3)cc2)cc1,493.15,GREA,Polyphenylenes,black,,,unsupported,ValueError
85,[*]=Cc1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccc(N(c4ccccc4)c4ccc(/C=C/c5ccc(/C=C(\C#N)C(=O)NC6CCCCC6NC(=O)C(=[*])C#N)s5)cc4)cc3)cc2)s1,*=Cc1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccc(N(c4ccccc4)c4ccc(/C=C/c5ccc(/C=C(\C#N)C(=O)NC6CCCCC6NC(=O)C(=*)C#N)s5)cc4)cc3)cc2)s1,513.15,GREA,Polysulfides,black,,,unsupported,ValueError
86,[*]=Cc1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccc(N(c4ccccc4)c4ccc(/C=C/c5ccc(/C=C(\C#N)c6cccc(C(=[*])C#N)c6)s5)cc4)cc3)cc2)s1,*=Cc1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccc(N(c4ccccc4)c4ccc(/C=C/c5ccc(/C=C(\C#N)c6cccc(C(=*)C#N)c6)s5)cc4)cc3)cc2)s1,451.15,GREA,Polysulfides,black,,,unsupported,ValueError
87,[*]=Cc1ccc(C(=[*])c2ccc(C(F)(F)F)cc2)cc1,*=Cc1ccc(C(=*)c2ccc(C(F)(F)F)cc2)cc1,472.15,GREA,Polyphenylenes,black,,,unsupported,ValueError
88,[*]=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccc(N(c4ccccc4)c4ccc(C=Cc5ccc(C=C(C#N)C(=O)Nc6cc(-c7ccc(O)c(NC(=O)C(=[*])C#N)c7)ccc6O)s5)cc4)cc3)cc2)s1,*=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccc(N(c4ccccc4)c4ccc(C=Cc5ccc(C=C(C#N)C(=O)Nc6cc(-c7ccc(O)c(NC(=O)C(=*)C#N)c7)ccc6O)s5)cc4)cc3)cc2)s1,494.15,GREA,Polysulfides,black,,,unsupported,ValueError
89,[*]=Cc1ccc(N(c2ccccc2)c2ccc(C=C(c3ccc(OC)cc3)c3ccc(C(=[*])c4ccc(OC)cc4)cc3)cc2)cc1,*=Cc1ccc(N(c2ccccc2)c2ccc(C=C(c3ccc(OC)cc3)c3ccc(C(=*)c4ccc(OC)cc4)cc3)cc2)cc1,470.15,GREA,Polyimines,black,,,unsupported,ValueError
90,[*]=Cc1ccc(N(c2ccccc2)c2ccc(N(c3ccccc3)c3ccc(/C=C(\C#N)C(=O)NC4CCCCC4NC(=O)C(=[*])C#N)cc3)cc2)cc1,*=Cc1ccc(N(c2ccccc2)c2ccc(N(c3ccccc3)c3ccc(/C=C(\C#N)C(=O)NC4CCCCC4NC(=O)C(=*)C#N)cc3)cc2)cc1,512.15,GREA,Polyamides,black,,,unsupported,ValueError
91,[*]=Cc1ccc(OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccc(C(=[*])C)cc2)cc1,*=Cc1ccc(OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccc(C(=*)C)cc2)cc1,306.15,GREA,Polyoxides,black,,,unsupported,ValueError
92,[*]=Cc1ccc(OCC(O)COC(=O)CCCCCCCCC(=O)OCC(O)COc2ccc(C(=[*])C)cc2)cc1,*=Cc1ccc(OCC(O)COC(=O)CCCCCCCCC(=O)OCC(O)COc2ccc(C(=*)C)cc2)cc1,303.15,GREA,Polyoxides,black,,,unsupported,ValueError
93,[*]=Cc1ccc(OCCCCCCCCCCOc2ccc(/C=C3\CCCC(=[*])C3=O)cc2)cc1,*=Cc1ccc(OCCCCCCCCCCOc2ccc(/C=C3\CCCC(=*)C3=O)cc2)cc1,358.15,GREA,Polyoxides,black,,,unsupported,ValueError
94,[*]=Cc1ccc(OCCCCCCCCOc2ccc(/C=C3\CCCC(=[*])C3=O)cc2)cc1,*=Cc1ccc(OCCCCCCCCOc2ccc(/C=C3\CCCC(=*)C3=O)cc2)cc1,363.15,GREA,Polyoxides,black,,,unsupported,ValueError
95,[*]=Cc1ccc(OCCCCCCOc2ccc(/C=C3\CCCC(=[*])C3=O)cc2)cc1,*=Cc1ccc(OCCCCCCOc2ccc(/C=C3\CCCC(=*)C3=O)cc2)cc1,389.15,GREA,Polyoxides,black,,,unsupported,ValueError
96,[*]=Cc1ccc(OCCOCCOCCOCCOCCOc2ccc(C(=[*])C)cc2)cc1,*=Cc1ccc(OCCOCCOCCOCCOCCOc2ccc(C(=*)C)cc2)cc1,290.15,GREA,Polyoxides,black,,,unsupported,ValueError
97,[*]=Cc1ccc(OCCOCCOCCOCCOc2ccc(C(=[*])C)cc2)cc1,*=Cc1ccc(OCCOCCOCCOCCOc2ccc(C(=*)C)cc2)cc1,280.65,GREA,Polyoxides,black,,,unsupported,ValueError
98,[*]=Cc1ccc(OCCOCCOCCOc2ccc(C(=[*])C)cc2)cc1,*=Cc1ccc(OCCOCCOCCOc2ccc(C(=*)C)cc2)cc1,289.15,GREA,Polyoxides,black,,,unsupported,ValueError
99,[*]=Cc1ccc(OCCOCCOc2ccc(C(=[*])C)cc2)cc1,*=Cc1ccc(OCCOCCOc2ccc(C(=*)C)cc2)cc1,312.15,GREA,Polyoxides,black,,,unsupported,ValueError
100,[*]=Cc1ccc(Oc2ccc(-c3nnc(-c4ccc(Oc5ccc(C=[*])cc5)cc4)o3)cc2)cc1,*=Cc1ccc(Oc2ccc(-c3nnc(-c4ccc(Oc5ccc(C=*)cc5)cc4)o3)cc2)cc1,488.15,GREA,Polyoxides,black,,,unsupported,ValueError
101,[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(/C=C5\CCC(=[*])C5=O)cc4)cc3)cc2)cc1,*=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(/C=C5\CCC(=*)C5=O)cc4)cc3)cc2)cc1,508.15,GREA,Polyoxides,black,,,unsupported,ValueError
102,[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(/C=C5\CCCC(=[*])C5=O)cc4)cc3)cc2)cc1,*=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(/C=C5\CCCC(=*)C5=O)cc4)cc3)cc2)cc1,463.15,GREA,Polyoxides,black,,,unsupported,ValueError
103,[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(/C=C5\CCCCC(=[*])C5=O)cc4)cc3)cc2)cc1,*=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(/C=C5\CCCCC(=*)C5=O)cc4)cc3)cc2)cc1,459.15,GREA,Polyoxides,black,,,unsupported,ValueError
104,[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(S(=O)(=O)c8ccc(Oc9ccc(/C=C%10\CCC(=[*])C%10=O)cc9)cc8)cc7)cc6)CCCC5)cc4)cc3)cc2)cc1,*=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(S(=O)(=O)c8ccc(Oc9ccc(/C=C%10\CCC(=*)C%10=O)cc9)cc8)cc7)cc6)CCCC5)cc4)cc3)cc2)cc1,513.15,GREA,Polyoxides,black,,,unsupported,ValueError
105,[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(S(=O)(=O)c8ccc(Oc9ccc(/C=C%10\CCCC(=[*])C%10=O)cc9)cc8)cc7)cc6)CCCCC5)cc4)cc3)cc2)cc1,*=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(S(=O)(=O)c8ccc(Oc9ccc(/C=C%10\CCCC(=*)C%10=O)cc9)cc8)cc7)cc6)CCCCC5)cc4)cc3)cc2)cc1,463.15,GREA,Polyoxides,black,,,unsupported,ValueError
106,[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(S(=O)(=O)c8ccc(Oc9ccc(/C=C%10\CCCCC(=[*])C%10=O)cc9)cc8)cc7)cc6)CCCCCC5)cc4)cc3)cc2)cc1,*=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(S(=O)(=O)c8ccc(Oc9ccc(/C=C%10\CCCCC(=*)C%10=O)cc9)cc8)cc7)cc6)CCCCCC5)cc4)cc3)cc2)cc1,469.15,GREA,Polyoxides,black,,,unsupported,ValueError
107,[*]=Cc1ccc2c(c1)c1cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc1n2CCCCCCCCCCCOc1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1,*=Cc1ccc2c(c1)c1cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=*)C#N)ccc1n2CCCCCCCCCCCOc1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1,360.15,GREA,Polyesters,black,,,unsupported,ValueError
108,[*]=Cc1ccc2c(c1)c1cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc1n2CCCCCCCCCCCn1c2ccccc2c2ccccc21,*=Cc1ccc2c(c1)c1cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=*)C#N)ccc1n2CCCCCCCCCCCn1c2ccccc2c2ccccc21,336.15,GREA,Polyesters,black,,,unsupported,ValueError
109,[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc21,*=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=*)C#N)ccc21,367.65,GREA,Polyesters,black,,,unsupported,ValueError
110,[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc21,*=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=*)C#N)ccc21,369.55,GREA,Polyesters,black,,,unsupported,ValueError
111,[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc21,*=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=*)C#N)ccc21,369.85,GREA,Polyesters,black,,,unsupported,ValueError
